City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
165,nouadhibou,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
166,college,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
167,shahabad,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
168,wokha,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
169,junction city,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
170,bathsheba,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
171,tazovsky,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
172,yuanlin,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
173,altamira,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
174,toga village,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
175,gisborne,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
176,tanrake village,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
177,bougouni,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
178,ola,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
179,illapel,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
180,kazanskoye,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
181,akureyri,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
182,sault ste. marie,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
183,avarua,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
184,doka,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
185,katsuren-haebaru,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
186,sefrou,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
187,luderitz,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
188,lompoc,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
189,the pas,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
190,hammerfest,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
191,hithadhoo,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
192,teguise,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
193,palmer,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
194,dawson creek,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
195,dudinka,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
196,nsanje,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
197,torit,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
198,vila franca do campo,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
199,yinchuan,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
200,auki,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
201,najran,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
202,haiku-pauwela,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
203,aykhal,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
204,st. john's,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
205,colonia,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
206,kamuli,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
207,kangding,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
208,trevelin,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
209,keflavik,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
210,singaparna,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
211,sao joao dos patos,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
212,dar chioukh,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
213,kolonia,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
214,west island,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
215,marrakesh,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
216,tsengel,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
217,nova sintra,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
218,mramani,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
219,inhambane,47.9547,44.6808,78.91,43,0,4.09,RU,1690427592
